DATE,wage,gdp,unemp,homes_sold,new_homes,price,interest
2000-06-30,606.0,101.72368383333333,3.9333333333333336,305.3333333333333,4.533333333333334,104.0505,6.271978021978022
2000-09-30,611.0,101.58089376666668,4.0,301.6666666666667,4.166666666666667,105.786,6.51945652173913
2000-12-31,614.0,101.1766836,3.9,301.3333333333333,3.9333333333333336,108.27466666666668,6.4748913043478264
2001-03-31,620.0,100.6399511,4.233333333333333,294.6666666666667,3.766666666666667,110.48466666666667,5.597
2001-06-30,624.0,100.11588004666665,4.3999999999999995,296.6666666666667,4.033333333333334,112.20333333333333,4.326703296703297
2001-09-30,636.0,99.55770329666666,4.833333333333333,307.6666666666667,4.333333333333333,114.156,3.5015217391304345
2001-12-31,642.0,99.21050196333333,5.5,308.0,4.066666666666666,115.872,2.130434782608696
2002-03-31,645.0,99.13918997666667,5.7,313.0,4.1000000000000005,117.89133333333332,1.732888888888889
2002-06-30,643.0,99.07137995666666,5.833333333333333,326.3333333333333,4.166666666666667,120.71600000000001,1.7515384615384615
2002-09-30,646.0,98.83266001666668,5.733333333333333,333.3333333333333,4.033333333333333,123.83300000000001,1.7408695652173913
2002-12-31,651.0,98.51265932,5.866666666666667,337.3333333333333,4.0,126.675,1.4442391304347826
2003-03-31,659.0,98.38624350333333,5.866666666666667,340.0,4.2,129.32133333333334,1.2496666666666667
2003-06-30,659.0,98.63379294666667,6.133333333333333,342.0,3.8333333333333335,131.756,1.2467032967032967
2003-09-30,662.0,99.14368788999998,6.133333333333333,346.0,3.6333333333333333,135.01266666666666,1.0168478260869565
2003-12-31,667.0,99.51118987333332,5.833333333333333,365.6666666666667,3.9666666666666663,138.83533333333332,0.9967391304347827
2004-03-31,676.0,99.61254164333333,5.7,375.6666666666667,3.6999999999999997,143.299,1.001868131868132
2004-06-30,684.0,99.68772014333332,5.599999999999999,383.0,3.9,148.209,1.0113186813186814
2004-09-30,681.0,99.89080228,5.433333333333334,405.0,4.3,152.71666666666667,1.4307608695652174
2004-12-31,692.0,100.18811266666667,5.433333333333334,417.6666666666667,4.1000000000000005,157.53600000000003,1.9498913043478259
2005-03-31,696.0,100.43390146666667,5.3,444.0,4.266666666666667,163.4813333333333,2.4690000000000003
2005-06-30,688.0,100.53001556666668,5.1000000000000005,450.0,4.266666666666667,169.34733333333332,2.9417582417582415
2005-09-30,697.0,100.62245030000001,4.966666666666667,475.6666666666667,4.466666666666667,174.57900000000004,3.46
2005-12-31,704.0,100.83284683333333,4.966666666666667,501.0,4.8,179.5393333333333,3.9782608695652173
